Marque;Modèle;Année;Puissance;Énergie;Boîte;Finition;Cote_Reference;Km_Reference;Decote_par_Km;Volume_Annonces;Qualite_Cote
ABARTH;500E;2024;57;ÉLECTRIQUE;AUTOMATIQUE;STANDARD;25447;7432;-0.05;4;C
ABARTH;595;2016;140;ESSENCE;MANUELLE;STANDARD;12740;65932;-0.05;4;C
ABARTH;595;2017;180;ESSENCE;MANUELLE;STANDARD;18980;57440;-0.04;5;C
ABARTH;595;2018;160;ESSENCE;MANUELLE;STANDARD;14535;65307;-0.0238;8;C
ABARTH;595;2019;145;ESSENCE;MANUELLE;STANDARD;15495;54409;-0.08;6;C
ABARTH;595;2021;145;ESSENCE;MANUELLE;STANDARD;20495;37825;-0.05;4;C
ABARTH;600E;2025;240;ÉLECTRIQUE;AUTOMATIQUE;STANDARD;34650;3644;-0.15;7;C
ABARTH;600E;2025;280;ÉLECTRIQUE;AUTOMATIQUE;STANDARD;42990;2516;-0.05;3;C
ALFA ROMEO;147;2006;0;DIESEL;MANUELLE;STANDARD;4000;242200;-0.02;3;C
ALFA ROMEO;147;2008;0;DIESEL;MANUELLE;STANDARD;3000;212000;-0.02;3;C
ALFA ROMEO;159;2007;0;ESSENCE;MANUELLE;STANDARD;5980;165666;-0.02;3;C
ALFA ROMEO;159;2007;120;DIESEL;MANUELLE;STANDARD;1999;242666;-0.02;3;C
ALFA ROMEO;159;2008;0;ESSENCE;MANUELLE;STANDARD;10990;150575;-0.02;3;C
ALFA ROMEO;4C;2015;240;ESSENCE;AUTOMATIQUE;STANDARD;67950;21097;-0.05;3;C
ALFA ROMEO;GIULETTA;2011;140;DIESEL;MANUELLE;STANDARD;4500;197118;-0.05;3;C
ALFA ROMEO;GIULIA;2016;150;DIESEL;MANUELLE;STANDARD;13990;149172;-0.05086;5;C
ALFA ROMEO;GIULIA;2016;180;DIESEL;AUTOMATIQUE;STANDARD;18490;125070;-0.05606;17;B
ALFA ROMEO;GIULIA;2016;510;ESSENCE;AUTOMATIQUE;STANDARD;54990;71217;-0.05;3;C
ALFA ROMEO;GIULIA;2017;150;DIESEL;AUTOMATIQUE;STANDARD;19990;121398;-0.06058;5;C
ALFA ROMEO;GIULIA;2017;150;DIESEL;MANUELLE;STANDARD;15990;106557;-0.05;4;C
ALFA ROMEO;GIULIA;2017;180;DIESEL;AUTOMATIQUE;STANDARD;17835;129874;-0.0484;26;B
ALFA ROMEO;GIULIA;2017;180;DIESEL;MANUELLE;STANDARD;19490;104489;-0.06982;7;C
ALFA ROMEO;GIULIA;2017;200;ESSENCE;AUTOMATIQUE;STANDARD;23990;100690;-0.06833;11;B
ALFA ROMEO;GIULIA;2017;210;DIESEL;AUTOMATIQUE;STANDARD;20990;125404;-0.05;3;C
ALFA ROMEO;GIULIA;2017;280;ESSENCE;AUTOMATIQUE;STANDARD;28390;94305;-0.05;3;C
ALFA ROMEO;GIULIA;2017;510;ESSENCE;AUTOMATIQUE;STANDARD;51690;53866;-0.08;6;C
ALFA ROMEO;GIULIA;2018;150;DIESEL;AUTOMATIQUE;STANDARD;17990;103623;-0.05;3;C
ALFA ROMEO;GIULIA;2018;180;DIESEL;AUTOMATIQUE;STANDARD;20470;115841;-0.06845;16;B
ALFA ROMEO;GIULIA;2018;180;DIESEL;MANUELLE;STANDARD;21500;90900;-0.05;3;C
ALFA ROMEO;GIULIA;2018;200;ESSENCE;AUTOMATIQUE;STANDARD;27340;92955;-0.08;10;C
ALFA ROMEO;GIULIA;2018;210;DIESEL;AUTOMATIQUE;STANDARD;21240;125491;-0.08;6;C
ALFA ROMEO;GIULIA;2018;280;ESSENCE;AUTOMATIQUE;STANDARD;29990;91924;-0.05;4;C
ALFA ROMEO;GIULIA;2019;136;DIESEL;AUTOMATIQUE;STANDARD;18990;112891;-0.07109;9;C
ALFA ROMEO;GIULIA;2019;160;DIESEL;AUTOMATIQUE;STANDARD;20490;97524;-0.02088;5;C
ALFA ROMEO;GIULIA;2019;190;DIESEL;AUTOMATIQUE;STANDARD;23945;87320;-0.05;4;C
ALFA ROMEO;GIULIA;2019;510;ESSENCE;AUTOMATIQUE;STANDARD;61390;48512;-0.08;8;C
ALFA ROMEO;GIULIA;2020;136;DIESEL;AUTOMATIQUE;STANDARD;22990;92601;-0.08;13;B
ALFA ROMEO;GIULIA;2020;190;DIESEL;AUTOMATIQUE;STANDARD;27500;73874;-0.08;5;C
ALFA ROMEO;GIULIA;2020;210;DIESEL;AUTOMATIQUE;STANDARD;27945;94574;-0.05;4;C
ALFA ROMEO;GIULIA;2020;510;ESSENCE;AUTOMATIQUE;STANDARD;38500;41287;-0.05;4;C
ALFA ROMEO;GIULIA;2021;190;DIESEL;AUTOMATIQUE;STANDARD;27945;64795;-0.10124;12;B
ALFA ROMEO;GIULIA;2022;190;DIESEL;AUTOMATIQUE;STANDARD;30990;62991;-0.02528;8;C
ALFA ROMEO;GIULIA;2022;200;ESSENCE;AUTOMATIQUE;STANDARD;35490;43540;-0.05;3;C
ALFA ROMEO;GIULIA;2023;160;DIESEL;AUTOMATIQUE;STANDARD;31244;44883;-0.09171;6;C
ALFA ROMEO;GIULIA;2023;190;DIESEL;AUTOMATIQUE;STANDARD;31945;50524;-0.05;4;C
ALFA ROMEO;GIULIA;2023;280;ESSENCE;AUTOMATIQUE;STANDARD;34990;25861;-0.15;6;C
ALFA ROMEO;GIULIA;2024;160;DIESEL;AUTOMATIQUE;STANDARD;43890;11771;-0.03763;9;C
ALFA ROMEO;GIULIA;2025;160;DIESEL;AUTOMATIQUE;STANDARD;45999;6586;-0.15;8;C
ALFA ROMEO;GIULIA;2025;210;DIESEL;AUTOMATIQUE;STANDARD;54659;6075;-0.05;4;C
ALFA ROMEO;GIULIETTA;2010;105;DIESEL;MANUELLE;STANDARD;4990;191300;-0.02;3;C
ALFA ROMEO;GIULIETTA;2010;170;DIESEL;MANUELLE;STANDARD;5500;193029;-0.02;20;B
ALFA ROMEO;GIULIETTA;2010;235;ESSENCE;MANUELLE;STANDARD;9735;133600;-0.01;8;C
ALFA ROMEO;GIULIETTA;2011;105;DIESEL;MANUELLE;STANDARD;5700;193292;-0.02526;47;A
ALFA ROMEO;GIULIETTA;2011;120;ESSENCE;MANUELLE;STANDARD;6490;167659;-0.02657;31;A
ALFA ROMEO;GIULIETTA;2011;140;DIESEL;MANUELLE;STANDARD;6495;190576;-0.03383;12;B
ALFA ROMEO;GIULIETTA;2011;170;DIESEL;MANUELLE;STANDARD;6145;192928;-0.02757;6;C
ALFA ROMEO;GIULIETTA;2011;170;ESSENCE;MANUELLE;STANDARD;6490;154712;-0.03248;7;C
ALFA ROMEO;GIULIETTA;2011;235;ESSENCE;MANUELLE;STANDARD;9245;173244;-0.05;4;C
ALFA ROMEO;GIULIETTA;2012;105;DIESEL;AUTOMATIQUE;STANDARD;5990;191042;-0.04314;5;C
ALFA ROMEO;GIULIETTA;2012;105;DIESEL;MANUELLE;STANDARD;5900;196755;-0.02534;35;A
ALFA ROMEO;GIULIETTA;2012;120;ESSENCE;AUTOMATIQUE;STANDARD;7480;178152;-0.05;3;C
ALFA ROMEO;GIULIETTA;2012;120;ESSENCE;MANUELLE;STANDARD;6990;136299;-0.02458;11;B
ALFA ROMEO;GIULIETTA;2012;140;DIESEL;MANUELLE;STANDARD;5495;198554;-0.02261;8;C
ALFA ROMEO;GIULIETTA;2012;170;DIESEL;AUTOMATIQUE;STANDARD;8990;154693;-0.05;3;C
ALFA ROMEO;GIULIETTA;2012;170;ESSENCE;AUTOMATIQUE;STANDARD;10900;118416;-0.05;3;C
ALFA ROMEO;GIULIETTA;2012;235;ESSENCE;MANUELLE;STANDARD;12245;128328;-0.05;4;C
ALFA ROMEO;GIULIETTA;2013;105;DIESEL;AUTOMATIQUE;STANDARD;7490;172250;-0.05;3;C
ALFA ROMEO;GIULIETTA;2013;105;DIESEL;MANUELLE;STANDARD;6495;196245;-0.01943;28;B
ALFA ROMEO;GIULIETTA;2013;140;DIESEL;MANUELLE;STANDARD;7595;164801;-0.03984;8;C
ALFA ROMEO;GIULIETTA;2013;170;ESSENCE;AUTOMATIQUE;STANDARD;8990;175000;-0.05;3;C
ALFA ROMEO;GIULIETTA;2013;170;ESSENCE;MANUELLE;STANDARD;7490;161863;-0.01117;16;B
ALFA ROMEO;GIULIETTA;2014;105;DIESEL;MANUELLE;STANDARD;6990;169386;-0.01628;7;C
ALFA ROMEO;GIULIETTA;2014;120;ESSENCE;MANUELLE;STANDARD;8990;92264;-0.04587;5;C
ALFA ROMEO;GIULIETTA;2014;150;DIESEL;MANUELLE;STANDARD;7500;171450;-0.02996;27;B
ALFA ROMEO;GIULIETTA;2014;170;ESSENCE;AUTOMATIQUE;STANDARD;10495;132027;-0.03371;6;C
ALFA ROMEO;GIULIETTA;2014;170;ESSENCE;MANUELLE;STANDARD;9600;118292;-0.03957;15;B
ALFA ROMEO;GIULIETTA;2014;175;DIESEL;AUTOMATIQUE;STANDARD;10990;142985;-0.05;3;C
ALFA ROMEO;GIULIETTA;2014;240;ESSENCE;AUTOMATIQUE;STANDARD;15240;133133;-0.05;6;C
ALFA ROMEO;GIULIETTA;2015;105;DIESEL;MANUELLE;STANDARD;7500;172762;-0.04291;5;C
ALFA ROMEO;GIULIETTA;2015;150;DIESEL;MANUELLE;STANDARD;9990;142655;-0.04049;12;B
ALFA ROMEO;GIULIETTA;2015;150;ESSENCE;MANUELLE;STANDARD;7295;204989;-0.05;4;C
ALFA ROMEO;GIULIETTA;2015;170;ESSENCE;AUTOMATIQUE;STANDARD;12745;104852;-0.03115;6;C
ALFA ROMEO;GIULIETTA;2015;170;ESSENCE;MANUELLE;STANDARD;9990;120392;-0.04905;13;B
ALFA ROMEO;GIULIETTA;2015;175;DIESEL;AUTOMATIQUE;STANDARD;10500;153916;-0.05;3;C
ALFA ROMEO;GIULIETTA;2016;120;ESSENCE;MANUELLE;STANDARD;9800;93709;-0.02091;5;C
ALFA ROMEO;GIULIETTA;2016;150;DIESEL;MANUELLE;STANDARD;8500;164988;-0.03344;9;C
ALFA ROMEO;GIULIETTA;2016;150;ESSENCE;AUTOMATIQUE;STANDARD;15990;114950;-0.05;3;C
ALFA ROMEO;GIULIETTA;2016;150;ESSENCE;MANUELLE;STANDARD;11200;120910;-0.04666;17;B
ALFA ROMEO;GIULIETTA;2016;170;ESSENCE;AUTOMATIQUE;STANDARD;12145;101126;-0.05;4;C
ALFA ROMEO;GIULIETTA;2016;175;DIESEL;AUTOMATIQUE;STANDARD;9999;163966;-0.05;3;C
ALFA ROMEO;GIULIETTA;2017;120;DIESEL;MANUELLE;STANDARD;11990;108173;-0.05;3;C
ALFA ROMEO;GIULIETTA;2017;120;ESSENCE;MANUELLE;STANDARD;8999;124451;-0.05;3;C
ALFA ROMEO;GIULIETTA;2017;150;DIESEL;AUTOMATIQUE;STANDARD;11900;138833;-0.05;3;C
ALFA ROMEO;GIULIETTA;2017;150;DIESEL;MANUELLE;STANDARD;10495;148722;-0.04272;8;C
ALFA ROMEO;GIULIETTA;2017;150;ESSENCE;AUTOMATIQUE;STANDARD;14490;78532;-0.05;3;C
ALFA ROMEO;GIULIETTA;2017;150;ESSENCE;MANUELLE;STANDARD;13200;102641;-0.04846;7;C
ALFA ROMEO;GIULIETTA;2017;170;ESSENCE;AUTOMATIQUE;STANDARD;15990;86841;-0.05;3;C
ALFA ROMEO;GIULIETTA;2017;175;DIESEL;AUTOMATIQUE;STANDARD;11990;155347;-0.05;3;C
ALFA ROMEO;GIULIETTA;2018;120;DIESEL;AUTOMATIQUE;STANDARD;10950;115771;-0.05;4;C
ALFA ROMEO;GIULIETTA;2018;120;DIESEL;MANUELLE;STANDARD;12240;104458;-0.01317;6;C
ALFA ROMEO;GIULIETTA;2018;150;DIESEL;MANUELLE;STANDARD;13000;124525;-0.05;3;C
ALFA ROMEO;GIULIETTA;2018;150;ESSENCE;MANUELLE;STANDARD;14490;109134;-0.05;4;C
ALFA ROMEO;GIULIETTA;2018;170;ESSENCE;AUTOMATIQUE;STANDARD;14000;99810;-0.04048;13;B
ALFA ROMEO;GIULIETTA;2019;120;DIESEL;MANUELLE;STANDARD;13900;80851;-0.02112;9;C
ALFA ROMEO;GIULIETTA;2019;120;ESSENCE;MANUELLE;STANDARD;15900;48231;-0.05;3;C
ALFA ROMEO;GIULIETTA;2019;170;DIESEL;AUTOMATIQUE;STANDARD;16540;106649;-0.05;4;C
ALFA ROMEO;GIULIETTA;2020;120;DIESEL;AUTOMATIQUE;STANDARD;15590;68991;-0.01355;5;C
ALFA ROMEO;GIULIETTA;2020;120;ESSENCE;MANUELLE;STANDARD;17240;51259;-0.06447;6;C
ALFA ROMEO;GIULIETTA;2020;170;DIESEL;AUTOMATIQUE;STANDARD;15990;92233;-0.05;3;C
ALFA ROMEO;GIULIETTA;2021;120;DIESEL;MANUELLE;STANDARD;16490;79340;-0.05;3;C
ALFA ROMEO;GTV;1996;0;ESSENCE;MANUELLE;STANDARD;7950;163075;-0.02;4;C
ALFA ROMEO;GTV;1997;0;ESSENCE;MANUELLE;STANDARD;15990;138200;-0.02;3;C
ALFA ROMEO;INCONNU;2011;0;DIESEL;MANUELLE;STANDARD;4150;222000;-0.05;4;C
ALFA ROMEO;JUNIOR;2024;136;ESSENCE;AUTOMATIQUE;STANDARD;34990;3190;-0.05;3;C
ALFA ROMEO;JUNIOR;2024;136;HYBRIDE;AUTOMATIQUE;STANDARD;28499;2343;-0.075;9;C
ALFA ROMEO;JUNIOR;2024;156;ÉLECTRIQUE;AUTOMATIQUE;STANDARD;32989;2796;-0.075;10;C
ALFA ROMEO;JUNIOR;2025;136;ESSENCE;AUTOMATIQUE;STANDARD;29445;14140;-0.14265;6;C
ALFA ROMEO;JUNIOR;2025;136;HYBRIDE;AUTOMATIQUE;STANDARD;31990;5778;-0.15;29;B
ALFA ROMEO;JUNIOR;2025;136;HYBRIDE;AUTOMATIQUE;TECHNO;29190;11428;-0.05;3;C
ALFA ROMEO;JUNIOR;2025;145;ESSENCE;AUTOMATIQUE;STANDARD;33170;2069;-0.0153;16;B
ALFA ROMEO;JUNIOR;2025;145;HYBRIDE;AUTOMATIQUE;STANDARD;33499;1624;-0.15;55;A
ALFA ROMEO;JUNIOR;2025;145;HYBRIDE;AUTOMATIQUE;TECHNO;30490;2732;-0.15;7;C
ALFA ROMEO;JUNIOR;2025;156;ÉLECTRIQUE;AUTOMATIQUE;STANDARD;37900;3394;-0.075;21;B
ALFA ROMEO;JUNIOR;2025;156;ÉLECTRIQUE;AUTOMATIQUE;TECHNO;35239;5525;-0.05;4;C
ALFA ROMEO;JUNIOR;2025;280;ÉLECTRIQUE;AUTOMATIQUE;STANDARD;42735;2752;-0.11674;36;A
ALFA ROMEO;MITO;2009;78;ESSENCE;MANUELLE;STANDARD;3999;163081;-0.01;9;C
ALFA ROMEO;MITO;2009;120;DIESEL;MANUELLE;STANDARD;4245;208799;-0.00577;6;C
ALFA ROMEO;MITO;2010;90;DIESEL;MANUELLE;STANDARD;5845;159475;-0.02;4;C
ALFA ROMEO;MITO;2010;105;ESSENCE;MANUELLE;STANDARD;5900;141346;-0.02;11;B
ALFA ROMEO;MITO;2011;95;DIESEL;MANUELLE;STANDARD;3500;191217;-0.02548;7;C
ALFA ROMEO;MITO;2013;0;ESSENCE;MANUELLE;STANDARD;5440;129437;-0.05;4;C
ALFA ROMEO;MITO;2013;85;DIESEL;MANUELLE;STANDARD;6990;121666;-0.05;3;C
ALFA ROMEO;MITO;2014;105;ESSENCE;MANUELLE;STANDARD;6840;105250;-0.05;4;C
ALFA ROMEO;MITO;2015;78;ESSENCE;MANUELLE;STANDARD;7290;83274;-0.05;4;C
ALFA ROMEO;MITO;2016;140;ESSENCE;MANUELLE;STANDARD;5800;136901;-0.05;3;C
ALFA ROMEO;MITO;2017;105;ESSENCE;MANUELLE;STANDARD;9300;78333;-0.05;3;C
ALFA ROMEO;SPIDER;1997;150;ESSENCE;MANUELLE;STANDARD;6190;150372;-0.02;4;C
ALFA ROMEO;STELVIO;2017;180;DIESEL;AUTOMATIQUE;STANDARD;19990;101889;-0.03987;7;C
ALFA ROMEO;STELVIO;2017;210;DIESEL;AUTOMATIQUE;STANDARD;20873;129234;-0.08;32;A
ALFA ROMEO;STELVIO;2017;280;ESSENCE;AUTOMATIQUE;STANDARD;24995;106825;-0.08;20;B
ALFA ROMEO;STELVIO;2018;150;DIESEL;AUTOMATIQUE;STANDARD;21484;108289;-0.08;10;C
ALFA ROMEO;STELVIO;2018;180;DIESEL;AUTOMATIQUE;STANDARD;20945;118489;-0.01417;10;C
ALFA ROMEO;STELVIO;2018;190;DIESEL;AUTOMATIQUE;STANDARD;22900;112553;-0.0517;5;C
ALFA ROMEO;STELVIO;2018;200;ESSENCE;AUTOMATIQUE;STANDARD;25000;85610;-0.02381;11;B
ALFA ROMEO;STELVIO;2018;210;DIESEL;AUTOMATIQUE;STANDARD;22845;119455;-0.08;48;A
ALFA ROMEO;STELVIO;2018;280;ESSENCE;AUTOMATIQUE;STANDARD;28900;84300;-0.07294;5;C
ALFA ROMEO;STELVIO;2018;510;ESSENCE;AUTOMATIQUE;STANDARD;44900;92666;-0.05;3;C
ALFA ROMEO;STELVIO;2019;160;DIESEL;AUTOMATIQUE;STANDARD;23490;87120;-0.08;10;C
ALFA ROMEO;STELVIO;2019;190;DIESEL;AUTOMATIQUE;STANDARD;22900;110950;-0.06171;34;A
ALFA ROMEO;STELVIO;2019;210;DIESEL;AUTOMATIQUE;STANDARD;26240;95604;-0.08;12;B
ALFA ROMEO;STELVIO;2019;280;ESSENCE;AUTOMATIQUE;STANDARD;29990;82309;-0.08;9;C
ALFA ROMEO;STELVIO;2019;510;ESSENCE;AUTOMATIQUE;STANDARD;53990;56500;-0.05;3;C
ALFA ROMEO;STELVIO;2020;160;DIESEL;AUTOMATIQUE;STANDARD;26890;86471;-0.08;8;C
ALFA ROMEO;STELVIO;2020;190;DIESEL;AUTOMATIQUE;STANDARD;26240;94959;-0.06488;18;B
ALFA ROMEO;STELVIO;2020;210;DIESEL;AUTOMATIQUE;STANDARD;31990;81873;-0.08;8;C
ALFA ROMEO;STELVIO;2020;510;ESSENCE;AUTOMATIQUE;STANDARD;55990;74544;-0.05;3;C
ALFA ROMEO;STELVIO;2021;160;DIESEL;AUTOMATIQUE;STANDARD;25894;93564;-0.09801;8;C
ALFA ROMEO;STELVIO;2021;190;DIESEL;AUTOMATIQUE;STANDARD;30484;71895;-0.11574;16;B
ALFA ROMEO;STELVIO;2021;210;DIESEL;AUTOMATIQUE;STANDARD;30945;89460;-0.09185;26;B
ALFA ROMEO;STELVIO;2022;160;DIESEL;AUTOMATIQUE;STANDARD;27990;71080;-0.13631;31;A
ALFA ROMEO;STELVIO;2022;190;DIESEL;AUTOMATIQUE;STANDARD;33540;61153;-0.11138;14;B
ALFA ROMEO;STELVIO;2022;210;DIESEL;AUTOMATIQUE;STANDARD;37990;56210;-0.00713;15;B
ALFA ROMEO;STELVIO;2022;510;ESSENCE;AUTOMATIQUE;STANDARD;49990;53604;-0.05;3;C
ALFA ROMEO;STELVIO;2023;160;DIESEL;AUTOMATIQUE;STANDARD;36440;23919;-0.05;4;C
ALFA ROMEO;STELVIO;2023;190;DIESEL;AUTOMATIQUE;STANDARD;28490;66669;-0.05;3;C
ALFA ROMEO;STELVIO;2023;210;DIESEL;AUTOMATIQUE;STANDARD;37990;48102;-0.075;15;B
ALFA ROMEO;STELVIO;2024;160;DIESEL;AUTOMATIQUE;STANDARD;38590;24736;-0.11208;35;A
ALFA ROMEO;STELVIO;2024;210;DIESEL;AUTOMATIQUE;STANDARD;53900;18088;-0.15;7;C
ALFA ROMEO;STELVIO;2025;160;DIESEL;AUTOMATIQUE;STANDARD;50900;6448;-0.15;7;C
ALFA ROMEO;STELVIO;2025;210;DIESEL;AUTOMATIQUE;STANDARD;60694;6793;-0.15;12;B
ALFA ROMEO;TONALE;2022;130;ESSENCE;AUTOMATIQUE;STANDARD;24990;48002;-0.04967;23;B
ALFA ROMEO;TONALE;2022;130;HYBRIDE;AUTOMATIQUE;STANDARD;25999;40746;-0.07508;45;A
ALFA ROMEO;TONALE;2022;160;ESSENCE;AUTOMATIQUE;STANDARD;25590;58901;-0.04533;11;B
ALFA ROMEO;TONALE;2022;160;HYBRIDE;AUTOMATIQUE;STANDARD;28990;33404;-0.075;15;B
ALFA ROMEO;TONALE;2023;130;DIESEL;AUTOMATIQUE;STANDARD;25990;33974;-0.00973;11;B
ALFA ROMEO;TONALE;2023;130;ESSENCE;AUTOMATIQUE;STANDARD;23990;32700;-0.06991;17;B
ALFA ROMEO;TONALE;2023;130;HYBRIDE;AUTOMATIQUE;STANDARD;24240;34513;-0.07996;14;B
ALFA ROMEO;TONALE;2023;160;ESSENCE;AUTOMATIQUE;STANDARD;28490;26684;-0.05967;11;B
ALFA ROMEO;TONALE;2023;160;HYBRIDE;AUTOMATIQUE;STANDARD;26240;38787;-0.04547;10;C
ALFA ROMEO;TONALE;2023;190;HYBRIDE;AUTOMATIQUE;STANDARD;32344;10838;-0.05;4;C
ALFA ROMEO;TONALE;2023;280;HYBRIDE;AUTOMATIQUE;STANDARD;29890;26815;-0.10653;71;A
ALFA ROMEO;TONALE;2024;130;DIESEL;AUTOMATIQUE;STANDARD;29900;19390;-0.01981;12;B
ALFA ROMEO;TONALE;2024;130;ESSENCE;AUTOMATIQUE;STANDARD;25490;20660;-0.13788;13;B
ALFA ROMEO;TONALE;2024;130;HYBRIDE;AUTOMATIQUE;STANDARD;27380;17383;-0.075;49;A
ALFA ROMEO;TONALE;2024;160;ESSENCE;AUTOMATIQUE;STANDARD;35240;12799;-0.15;38;A
ALFA ROMEO;TONALE;2024;160;HYBRIDE;AUTOMATIQUE;STANDARD;34989;10983;-0.15;25;B
ALFA ROMEO;TONALE;2024;190;HYBRIDE;AUTOMATIQUE;STANDARD;33580;9369;-0.15;11;B
ALFA ROMEO;TONALE;2024;280;HYBRIDE;AUTOMATIQUE;STANDARD;43405;11402;-0.15;30;B
ALFA ROMEO;TONALE;2025;130;HYBRIDE;AUTOMATIQUE;STANDARD;36240;4552;-0.075;6;C
ALFA ROMEO;TONALE;2025;160;ESSENCE;AUTOMATIQUE;STANDARD;33494;10323;-0.15;24;B
ALFA ROMEO;TONALE;2025;160;HYBRIDE;AUTOMATIQUE;STANDARD;43999;5749;-0.15;27;B
ALFA ROMEO;TONALE;2025;280;HYBRIDE;AUTOMATIQUE;STANDARD;49990;3819;-0.075;16;B
ALPINE;A;2023;300;ESSENCE;AUTOMATIQUE;STANDARD;83000;10620;-0.05;3;C
ALPINE;A110;2018;252;ESSENCE;AUTOMATIQUE;STANDARD;56500;23135;-0.08;5;C
ALPINE;A110;2019;252;ESSENCE;AUTOMATIQUE;STANDARD;61400;21004;-0.08;9;C
ALPINE;A110;2022;300;ESSENCE;AUTOMATIQUE;STANDARD;71494;17336;-0.15;6;C
ALPINE;A110;2023;300;ESSENCE;AUTOMATIQUE;GT;69990;16879;-0.15;5;C
ALPINE;A110;2023;300;ESSENCE;AUTOMATIQUE;STANDARD;84980;13644;-0.15;15;B
ALPINE;A110;2024;300;ESSENCE;AUTOMATIQUE;GT;75240;5447;-0.05;4;C
ALPINE;A110;2024;300;ESSENCE;AUTOMATIQUE;STANDARD;104990;5023;-0.15;17;B
ALPINE;A110;2025;300;ESSENCE;AUTOMATIQUE;STANDARD;94990;2026;-0.05;3;C
ALPINE;A110R;2024;300;ESSENCE;AUTOMATIQUE;STANDARD;120990;2928;-0.05;3;C
AUDI;80;1995;101;ESSENCE;MANUELLE;STANDARD;9750;133043;-0.02;4;C
AUDI;80;1996;150;ESSENCE;MANUELLE;STANDARD;9990;158000;-0.02;3;C
AUDI;A;2015;0;DIESEL;AUTOMATIQUE;STANDARD;14200;215111;-0.05;3;C
AUDI;A1;2010;105;DIESEL;MANUELLE;STANDARD;5995;208647;-0.02;4;C
AUDI;A1;2010;122;ESSENCE;AUTOMATIQUE;S-LINE;11000;160900;-0.02;3;C
AUDI;A1;2010;122;ESSENCE;MANUELLE;STANDARD;7400;147833;-0.02;3;C
AUDI;A1;2011;105;DIESEL;MANUELLE;AMBITION;10444;119631;-0.05;4;C
AUDI;A1;2011;105;DIESEL;MANUELLE;S-LINE;7445;221875;-0.05;4;C
AUDI;A1;2011;105;DIESEL;MANUELLE;STANDARD;8495;174889;-0.02899;20;B
AUDI;A1;2011;122;ESSENCE;AUTOMATIQUE;S-LINE;8945;195250;-0.05;4;C
AUDI;A1;2011;122;ESSENCE;AUTOMATIQUE;STANDARD;10720;134083;-0.01705;6;C
AUDI;A1;2011;122;ESSENCE;MANUELLE;STANDARD;7700;140740;-0.05;4;C
AUDI;A1;2011;185;ESSENCE;AUTOMATIQUE;S-LINE;11495;167788;-0.05;4;C
AUDI;A1;2012;86;ESSENCE;AUTOMATIQUE;S-LINE;13500;131937;-0.05;4;C
AUDI;A1;2012;86;ESSENCE;AUTOMATIQUE;STANDARD;10600;156100;-0.04557;5;C
AUDI;A1;2012;86;ESSENCE;MANUELLE;AMBITION;9700;127780;-0.0453;11;B
AUDI;A1;2012;86;ESSENCE;MANUELLE;S-LINE;8950;167939;-0.02596;7;C
AUDI;A1;2012;86;ESSENCE;MANUELLE;STANDARD;8490;144490;-0.03303;25;B
AUDI;A1;2012;90;DIESEL;AUTOMATIQUE;AMBITION;12450;118900;-0.05;3;C
AUDI;A1;2012;90;DIESEL;AUTOMATIQUE;S-LINE;8500;206000;-0.05;5;C
AUDI;A1;2012;90;DIESEL;AUTOMATIQUE;STANDARD;8945;175629;-0.03058;12;B
AUDI;A1;2012;90;DIESEL;MANUELLE;AMBITION;8245;184127;-0.00902;6;C
AUDI;A1;2012;90;DIESEL;MANUELLE;S-LINE;9245;202040;-0.05;6;C
AUDI;A1;2012;90;DIESEL;MANUELLE;STANDARD;7700;183560;-0.03054;32;A
AUDI;A1;2012;105;DIESEL;MANUELLE;S-LINE;9744;169875;-0.05;4;C
AUDI;A1;2012;105;DIESEL;MANUELLE;STANDARD;8250;193050;-0.03745;10;C
AUDI;A1;2012;122;ESSENCE;AUTOMATIQUE;AMBITION;11790;129490;-0.03078;5;C
AUDI;A1;2012;122;ESSENCE;MANUELLE;S-LINE;7900;145658;-0.05;3;C
AUDI;A1;2012;143;DIESEL;MANUELLE;S-LINE;10990;187000;-0.05;4;C
AUDI;A1;2012;185;ESSENCE;AUTOMATIQUE;AMBITION;11890;124634;-0.05;3;C
AUDI;A1;2012;185;ESSENCE;AUTOMATIQUE;S-LINE;12000;116340;-0.03386;5;C
AUDI;A1;2012;185;ESSENCE;AUTOMATIQUE;STANDARD;14490;118638;-0.05;3;C
AUDI;A1;2013;85;ESSENCE;MANUELLE;STANDARD;10695;110650;-0.05;4;C
AUDI;A1;2013;86;ESSENCE;AUTOMATIQUE;STANDARD;12495;141473;-0.03673;10;C
AUDI;A1;2013;86;ESSENCE;MANUELLE;AMBITION;9500;124354;-0.05;7;C
AUDI;A1;2013;86;ESSENCE;MANUELLE;S-LINE;11000;139127;-0.04091;11;B
AUDI;A1;2013;86;ESSENCE;MANUELLE;STANDARD;9700;135981;-0.01526;20;B
AUDI;A1;2013;90;DIESEL;AUTOMATIQUE;S-LINE;10990;135808;-0.05;3;C
AUDI;A1;2013;90;DIESEL;AUTOMATIQUE;STANDARD;10990;163077;-0.03649;9;C
AUDI;A1;2013;90;DIESEL;MANUELLE;AMBITION;9490;176557;-0.05;3;C
AUDI;A1;2013;90;DIESEL;MANUELLE;S-LINE;8500;188585;-0.05;7;C
AUDI;A1;2013;90;DIESEL;MANUELLE;STANDARD;8100;182500;-0.03033;30;B
